original_filename,recovered_filename,status,jp,vocab_id,target_filename,target_path
015_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Θâ¿σ▒ï.wav,015_東北きりたん（ノーマル）_部屋.wav,matched,部屋,jpln1200_l1_015,jpln1200_l1_015.wav,audio/jpln1200_l1_015.wav
016_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_µ£¼.wav,016_東北きりたん（ノーマル）_本.wav,matched,本,jpln1200_l1_016,jpln1200_l1_016.wav,audio/jpln1200_l1_016.wav
017_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_σÉæπüïπüä.wav,017_東北きりたん（ノーマル）_向かい.wav,matched,向かい,jpln1200_l1_017,jpln1200_l1_017.wav,audio/jpln1200_l1_017.wav
018_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πé╡πâ╝πé»πâ½.wav,018_東北きりたん（ノーマル）_サークル.wav,matched,サークル,jpln1200_l2_001,jpln1200_l2_001.wav,audio/jpln1200_l2_001.wav
019_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πâåπé╣πâê.wav,019_東北きりたん（ノーマル）_テスト.wav,matched,テスト,jpln1200_l2_002,jpln1200_l2_002.wav,audio/jpln1200_l2_002.wav
020_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πâÅπéÜπâ╝πâåπéúπâ╝.wav,020_東北きりたん（ノーマル）_パーティー.wav,matched,パーティー,jpln1200_l2_003,jpln1200_l2_003.wav,audio/jpln1200_l2_003.wav
021_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πé½πâòπéº.wav,021_東北きりたん（ノーマル）_カフェ.wav,matched,カフェ,jpln1200_l3_001,jpln1200_l3_001.wav,audio/jpln1200_l3_001.wav
022_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Θ½ÿµáí.wav,022_東北きりたん（ノーマル）_高校.wav,matched,高校,jpln1200_l3_002,jpln1200_l3_002.wav,audio/jpln1200_l3_002.wav
023_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πé│πâ│πâÆπéÖπâï.wav,023_東北きりたん（ノーマル）_コンビニ.wav,matched,コンビニ,jpln1200_l3_003,jpln1200_l3_003.wav,audio/jpln1200_l3_003.wav
024_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Θâ╡Σ╛┐σ▒Ç.wav,024_東北きりたん（ノーマル）_郵便局.wav,matched,郵便局,jpln1200_l3_004,jpln1200_l3_004.wav,audio/jpln1200_l3_004.wav
025_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Σ╕Çµ£ê.wav,025_東北きりたん（ノーマル）_一月.wav,matched,一月,jpln1200_l3_5_001,jpln1200_l3_5_001.wav,audio/jpln1200_l3_5_001.wav
026_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πüäπüñπüï.wav,026_東北きりたん（ノーマル）_いつか.wav,matched,いつか,jpln1200_l3_5_002,jpln1200_l3_5_002.wav,audio/jpln1200_l3_5_002.wav
027_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_τü½µ¢£µùÑ.wav,027_東北きりたん（ノーマル）_火曜日.wav,matched,火曜日,jpln1200_l3_5_003,jpln1200_l3_5_003.wav,audio/jpln1200_l3_5_003.wav
028_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Θçæµ¢£µùÑ.wav,028_東北きりたん（ノーマル）_金曜日.wav,matched,金曜日,jpln1200_l3_5_004,jpln1200_l3_5_004.wav,audio/jpln1200_l3_5_004.wav
029_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Σ╣¥µ£ê.wav,029_東北きりたん（ノーマル）_九月.wav,matched,九月,jpln1200_l3_5_005,jpln1200_l3_5_005.wav,audio/jpln1200_l3_5_005.wav
030_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_µ£êµ¢£µùÑ.wav,030_東北きりたん（ノーマル）_月曜日.wav,matched,月曜日,jpln1200_l3_5_006,jpln1200_l3_5_006.wav,audio/jpln1200_l3_5_006.wav
031_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Σ║öµ£ê.wav,031_東北きりたん（ノーマル）_五月.wav,matched,五月,jpln1200_l3_5_007,jpln1200_l3_5_007.wav,audio/jpln1200_l3_5_007.wav
032_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_πüôπüôπü«πüï.wav,032_東北きりたん（ノーマル）_ここのか.wav,matched,ここのか,jpln1200_l3_5_008,jpln1200_l3_5_008.wav,audio/jpln1200_l3_5_008.wav
033_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Σ╕ëµ£ê.wav,033_東北きりたん（ノーマル）_三月.wav,matched,三月,jpln1200_l3_5_009,jpln1200_l3_5_009.wav,audio/jpln1200_l3_5_009.wav
034_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Σ╕ëσìüΣ╕ÇµùÑ.wav,034_東北きりたん（ノーマル）_三十一日.wav,matched,三十一日,jpln1200_l3_5_010,jpln1200_l3_5_010.wav,audio/jpln1200_l3_5_010.wav
035_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Σ╕ëσìüµùÑ.wav,035_東北きりたん（ノーマル）_三十日.wav,matched,三十日,jpln1200_l3_5_011,jpln1200_l3_5_011.wav,audio/jpln1200_l3_5_011.wav
036_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_Σ╕âµ£ê.wav,036_東北きりたん（ノーマル）_七月.wav,matched,七月,jpln1200_l3_5_012,jpln1200_l3_5_012.wav,audio/jpln1200_l3_5_012.wav
037_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_σìüΣ╕Çµ£ê.wav,037_東北きりたん（ノーマル）_十一月.wav,matched,十一月,jpln1200_l3_5_013,jpln1200_l3_5_013.wav,audio/jpln1200_l3_5_013.wav
038_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_σìüΣ╕ÇµùÑ.wav,038_東北きりたん（ノーマル）_十一日.wav,matched,十一日,jpln1200_l3_5_014,jpln1200_l3_5_014.wav,audio/jpln1200_l3_5_014.wav
039_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_σìüµ£ê.wav,039_東北きりたん（ノーマル）_十月.wav,matched,十月,jpln1200_l3_5_015,jpln1200_l3_5_015.wav,audio/jpln1200_l3_5_015.wav
040_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_σìüΣ╣¥µùÑ.wav,040_東北きりたん（ノーマル）_十九日.wav,matched,十九日,jpln1200_l3_5_016,jpln1200_l3_5_016.wav,audio/jpln1200_l3_5_016.wav
041_µ¥▒σîùπüìπéèπüƒπéô∩╝êπâÄπâ╝πâ₧πâ½∩╝ë_σìüΣ║öµùÑ.wav,041_東北きりたん（ノーマル）_十五日.wav,matched,十五日,jpln1200_l3_5_017,jpln1200_l3_5_017.wav,audio/jpln1200_l3_5_017.wav
